DF_Market,Location,TMO,Flavor,Taste,Thickness,Length,PMI_Seg_SKU,PMI Total,SoM_PMI
Greece,Athens,PMI,Regular,Full Flavor,SSL,KS,1,863200,0.1
China,Xuzhou Guanyin,PMI,Regular,Full Flavor,STD,KS,2,74800,0
Cambodia,Phnom Penh,PMI,Regular,Full Flavor,SLI,KS,2,4591000,6.6
Canary Islands,Fuerteventura,PMI,Regular,Full Flavor,SLI,KS,3,150165000,8.2
Poland,Rzeszow,PMI,Regular,Full Flavor,STD,KS,11,450146000,3.8
China,Qingdao Liuting,PMI,Menthol Caps,Full Flavor,STD,KS,3,46888200,0.6
South Korea,Muan,PMI,Menthol,Full Flavor,STD,KS,1,30800,0
Panama,Panama Tocumen,PMI,Regular,Full Flavor,SLI,KS,3,555121000,37.7
Japan,Chitose,PMI,Regular,Full Flavor,STD,KS,9,123754800,0.9
Japan,Okayama,PMI,Menthol Caps,Full Flavor,STD,KS,1,1378000,0
Brazil,Natal,PMI,NTD Caps,Full Flavor,STD,KS,1,862400,0
Curazao,Curacao,PMI,Regular,Full Flavor,SLI,KS,3,1197125200,44.1
Macau,Macau,PMI,Menthol Caps,Full Flavor,STD,KS,1,7690000,21
Singapore,Singapore - Changi,PMI,NTD Caps,Full Flavor,STD,KS,2,9094800,3.5
South Korea,Busan - Kimhae (downtown),PMI,Menthol,Full Flavor,STD,KS,1,18680200,0.1
Iraq,Erbil International Airport,PMI,Regular,Full Flavor,SLI,KS,2,339390000,9.3
Italy,Rome Fiumicino,PMI,Regular,Full Flavor,SLI,KS,3,253270400,5.7
France,Marseille,PMI,Regular,Full Flavor,SLI,KS,2,235099200,1.9
Myanmar,Yangon,PMI,Menthol,Full Flavor,STD,KS,2,2265000,7.3
China,Urumchi Diwobao,PMI,Menthol,Full Flavor,STD,KS,2,14942800,0.2
Senegal,Leopold Sedar Senghar,PMI,NTD Caps,Full Flavor,STD,KS,1,125248000,8.6
Portugal,Lisbon,PMI,Regular,Full Flavor,SLI,KS,2,55728000,7.8
South Korea,Busan - Kimhae (downtown),PMI,Regular,1mg,SSL,KS,1,159000,0
Germany,Dresden,PMI,Regular,Full Flavor,SLI,KS,2,18120000,0.6
Greece,Athens,PMI,Regular,Lights,STD,KS,1,639200,0
India,Cochin,PMI,NTD Caps,Full Flavor,STD,KS,1,26757752,0.6
Japan,Takamatsu,PMI,Menthol Caps,Full Flavor,STD,KS,1,962000,0
Australia,Cairns,PMI,Regular,Full Flavor,STD,KS,2,207800,0.8
United Arab Emirates,Abu Dhabi,PMI,Menthol Caps,Full Flavor,STD,KS,1,14620000,0
Paraguay,Asuncion Silvio Petterossi,PMI,NTD Caps,Full Flavor,STD,KS,2,16999320,13.3
Argentina,Bariloche,PMI,NTD Caps,Full Flavor,STD,KS,1,26000,0
Tunisia,Enfidha,PMI,Menthol,Full Flavor,STD,KS,1,4240200,0
Mali,Bamako,PMI,Regular,Full Flavor,SLI,KS,1,156350000,14.9
Spain,Valencia,PMI,Regular,Full Flavor,SLI,KS,1,52349800,0.4
Kuwait,Kuwait,PMI,Regular,Full Flavor,STD,KS,19,7964892000,49.2
Israel,Tel-Aviv,PMI,Regular,Full Flavor,STD,KS,14,2865328000,86.7
Turkey,Konya Airport,PMI,Regular,Full Flavor,STD,KS,30,186080000,0.1
Qatar,Doha,PMI,Regular,Full Flavor,STD,KS,22,5809588920,33
Dominican Republic,Santo Domingo Las Americas,PMI,Menthol Caps,Full Flavor,STD,KS,3,23595800,0.2
Poland,Olsztyn,PMI,Regular,Full Flavor,SLI,KS,2,5043720,0
Egypt,Cairo,PMI,NTD Caps,Full Flavor,STD,KS,6,1584425400,4.7
Maldives,Male,PMI,Regular,Full Flavor,STD,KS,19,447497516,69.8
Japan,Chubu,PMI,Menthol Caps,Full Flavor,STD,KS,4,46046600,0.3
Croatia,Zagreb,PMI,Regular,Full Flavor,STD,KS,1,8048400,22.4
South Korea,Daegu (downtown),PMI,Regular,Full Flavor,STD,KS,4,35300000,0.2
Dominican Republic,Puerto Plata,PMI,Regular,Full Flavor,SLI,KS,3,156507600,1.6
Saudi Arabia,Medina,PMI,NTD Caps,Full Flavor,STD,KS,1,1729200,0
Sri Lanka,Bandaranaike,PMI,Regular,Full Flavor,STD,KS,14,64172805,6.3
Iraq,Erbil International Airport,PMI,NTD Caps,Full Flavor,STD,KS,7,475150000,13
South Korea,Muan,PMI,Regular,Lights,SLI,KS,1,944000,0
Egypt,Luxor,PMI,Regular,Full Flavor,SLI,KS,7,85610893,0.3
Japan,Tokyo - Narita,PMI,Menthol,Full Flavor,STD,KS,5,699959600,5.1
Tanzania,Dar Es Salaam,PMI,Regular,Full Flavor,STD,KS,9,119514000,12.8
Greece,Kos,PMI,Regular,Full Flavor,SLI,KS,8,21022400,1.6
Argentina,Mendoza,PMI,Regular,Full Flavor,SLI,KS,6,9354600,2.2
Turkey,Izmir Airport,PMI,Regular,Full Flavor,SLI,KS,9,1996050400,1.2
Greece,Rhodes,PMI,Regular,Full Flavor,SLI,KS,9,92647400,7.2
Norway,Oslo,PMI,Menthol Caps,Full Flavor,STD,KS,2,43045800,7.3
French Guyana,Cayenne,PMI,Regular,Lights,STD,KS,2,20405400,5.5
Tunisia,Tozeur,PMI,NTD Caps,Full Flavor,STD,KS,2,1761800,0
Brazil,Porto Alegre,PMI,NTD Caps,Full Flavor,SSL,KS,1,126600,0
Tanzania,Dar Es Salaam,PMI,Menthol Caps,Full Flavor,STD,KS,1,35000,0
Greece,Santorini,PMI,Regular,Full Flavor,SLI,KS,7,27486200,2.1
Tunisia,Monastir,PMI,Regular,Full Flavor,STD,KS,14,2890535400,12.9
China,Quanzhou,PMI,Menthol Caps,Full Flavor,STD,KS,2,355800,0
French Guyana,Cayenne,PMI,Regular,Full Flavor,STD,KS,9,261635000,70.9
France,Montpellier,PMI,Regular,Full Flavor,STD,KS,8,200426000,1.7
Japan,Hiroshima,PMI,Regular,Full Flavor,STD,KS,6,18231400,0.1
Italy,Bergamo,PMI,Regular,Full Flavor,SLI,KS,3,45846800,1
Switzerland,Geneva,PMI,NTD Caps,Full Flavor,STD,KS,4,69821000,3.3
Cambodia,Phnom Penh,PMI,Regular,Full Flavor,STD,KS,2,26608000,38.1
China,Xuzhou Guanyin,PMI,Menthol,Full Flavor,STD,KS,2,107200,0
Zambia,Lusaka,PMI,Regular,Full Flavor,SLI,KS,4,18222400,54.9
Colombia,Cali,PMI,Menthol Caps,Full Flavor,STD,KS,1,6146350,0.1
Great Britain,Bournemouth,PMI,Regular,Full Flavor,STD,KS,4,7488200,0.1
Argentina,Buenos Aires - Ezeiza,PMI,Regular,Full Flavor,STD,KS,2,34601000,8.1
Russia,Zhukovsky,PMI,Menthol Caps,Full Flavor,STD,KS,1,175200,0
Dominican Republic,Punta Cana - Higuey,PMI,Menthol,Full Flavor,STD,KS,2,206383000,2.1
Bahrain,Manama,PMI,Menthol Caps,Full Flavor,STD,KS,2,189928800,5.3
Colombia,Cali,PMI,NTD Caps,Full Flavor,STD,KS,4,67398156,1.6
Great Britain,London Stansted,PMI,Regular,Full Flavor,STD,KS,4,292441400,5.6
Peru,Lima,PMI,NTD Caps,Full Flavor,STD,KS,3,110552000,4.6
Bosnia-Herzegovinia,Banja Luka,PMI,Regular,Full Flavor,SLI,KS,3,127262700,11.5
Brazil,Salvador,PMI,NTD Caps,Full Flavor,STD,KS,2,9886400,0.2
Dominican Republic,Santo Domingo Las Americas,PMI,Menthol,Full Flavor,STD,KS,1,30060800,0.3
Brazil,Sao Paulo - Guarulhos,PMI,Regular,Full Flavor,SLI,KS,3,1089043600,17.9
Central Africa,Bangui,PMI,Regular,Full Flavor,SLI,KS,2,8250000,100
Myanmar,Mandalay,PMI,Menthol Caps,Full Flavor,STD,KS,3,7287600,23.4
Grenada,St. George's Point Saline,PMI,NTD Caps,Full Flavor,STD,KS,1,3567200,6.3
Kenya,Jomo Kenyatta,PMI,Menthol Caps,Full Flavor,STD,KS,1,1574400,0.1
China,Kunming Wujiaba,PMI,NTD Caps,Full Flavor,STD,KS,5,12647000,0.2
Greece,Skiathos,PMI,Regular,Full Flavor,STD,KS,1,7980000,0.6
France,Beauvais,PMI,Regular,Full Flavor,STD,KS,6,81151000,0.7
Norway,Trondheim,PMI,Menthol Caps,Full Flavor,STD,KS,2,2782800,0.5
Croatia,Zagreb,PMI,Regular,Full Flavor,SLI,KS,1,3102000,8.6
China,Nanchang Changbei,PMI,Regular,Full Flavor,STD,KS,2,164400,0
Greece,Mykonos,PMI,Regular,Full Flavor,SLI,KS,4,9640000,0.7
Turkey,Adana Airport,PMI,NTD Caps,Full Flavor,STD,KS,6,47136400,0
Mexico,Los Cabos,PMI,Regular,Full Flavor,SLI,KS,3,235959200,1.5
Malaysia,Penang,PMI,Menthol,Full Flavor,STD,KS,2,2254400,0.2
Czech Republic,Brno,PMI,Regular,Full Flavor,SLI,KS,1,2160000,1.8
Angola,Luanda,PMI,Menthol Caps,Full Flavor,STD,KS,1,740000,0.5
Russia,Moscow - Sheremetyevo,PMI,Menthol,Full Flavor,STD,KS,1,4350000,0.8
France,Lille,PMI,Regular,Full Flavor,SLI,KS,2,15227600,0.1
Japan,Okayama,PMI,Menthol,Full Flavor,STD,KS,1,795000,0
China,Zhengzhou Xinzheng,PMI,Menthol,Full Flavor,STD,KS,2,64600,0
South Korea,Busan - Kimhae (downtown),PMI,Regular,Lights,SLI,KS,1,23600,0
Tunisia,Monastir,PMI,Regular,Full Flavor,SLI,KS,3,4800419200,21.5
Portugal,Porto,PMI,Regular,Full Flavor,SLI,KS,2,52295600,7.3
Georgia,Tbilisi,PMI,Regular,Full Flavor,SLI,KS,3,26769200,10.1
Nigeria,Abuja,PMI,Regular,Full Flavor,STD,KS,3,20252800,13.2
France,Tarbes - Lourdes,PMI,Regular,Lights,STD,KS,1,250200,0
South Korea,Jeju (downtown),PMI,Regular,Full Flavor,SSL,KS,1,3158400,0
Australia,Melbourne,PMI,Menthol Caps,Full Flavor,STD,KS,2,1393422,5.4
Turkey,Bodrum Airport,PMI,Regular,Full Flavor,SSL,KS,1,12988800,0
Philippines,Manila Downtown Shop,PMI,Menthol Caps,Full Flavor,STD,KS,1,258000,0.3
South Korea,Incheon,PMI,Regular,Lights,SLI,KS,1,184929600,1.1
Norway,Oslo,PMI,NTD Caps,Full Flavor,STD,KS,2,24051100,4.1
Namibia,Windhoek,PMI,Menthol Caps,Full Flavor,STD,KS,1,3330000,1.2
Czech Republic,Ostrava,PMI,Regular,Full Flavor,SLI,KS,2,342000,0.3
Greece,Thessaloniki,PMI,Regular,Full Flavor,SLI,KS,8,44870000,3.5
Turkey,Istanbul Airport,PMI,Menthol Caps,Full Flavor,STD,KS,7,1733855000,1.1
Kyrgyzstan,Manas,PMI,Regular,Full Flavor,STD,KS,11,85433600,55.9
Switzerland,Geneva,PMI,Regular,Full Flavor,SLI,KS,8,568778000,26.8
Curazao,Curacao,PMI,Menthol,Full Flavor,STD,KS,2,49980000,1.8
Georgia,Kutaisi,PMI,Regular,Full Flavor,SLI,KS,3,6649200,2.5
Dominican Republic,Santiago Cibao,PMI,Regular,Full Flavor,SLI,KS,3,506606600,5.2
Japan,Tokyo - Haneda,PMI,Regular,Full Flavor,STD,KS,11,1850070000,13.5
Spain,Ibiza,PMI,Regular,Full Flavor,STD,KS,8,459716200,3.9
Greece,Zakynthos,PMI,Regular,Full Flavor,SLI,KS,7,18253000,1.4
Italy,Milan - Linate,PMI,Regular,Full Flavor,STD,KS,10,86618800,2
Austria,Graz,PMI,Regular,Full Flavor,STD,KS,4,1501800,2.1
China,Urumchi Diwobao,PMI,NTD Caps,Full Flavor,STD,KS,5,12721200,0.2
Australia,Cairns,PMI,NTD Caps,Full Flavor,STD,KS,1,6300,0
Sweden,Vaxjo,PMI,Regular,Full Flavor,SLI,KS,1,47000,0
South Korea,Daegu (downtown),PMI,Regular,Lights,SLI,KS,1,590000,0
Brazil,Belo Horizonte,PMI,Regular,Full Flavor,STD,KS,11,35526200,0.6
Morocco,Agadir,PMI,NTD Caps,Full Flavor,STD,KS,9,400812200,1.6
Dominican Republic,Santo Domingo Las Americas,PMI,NTD Caps,Full Flavor,STD,KS,2,41473600,0.4
Czech Republic,Brno,PMI,Regular,Full Flavor,STD,KS,3,19980000,16.8
Finland,Helsinki-Vantaa,PMI,Regular,Full Flavor,STD,KS,3,31848000,84.3
Argentina,Cordoba,PMI,NTD Caps,Full Flavor,STD,KS,1,457600,0.1
Turkey,Cukurova Airport,PMI,NTD Caps,Full Flavor,STD,KS,10,69504800,0
Saint Marteen (NL),St. Maarten Princess Juliana,PMI,Menthol,Full Flavor,STD,KS,3,32225449,4.8
Saint Marteen (NL),St. Maarten Princess Juliana,PMI,Regular,Full Flavor,STD,KS,13,361269403,53.5
Turkey,Bodrum Airport,PMI,Regular,Full Flavor,SLI,KS,6,88763200,0.1
Philippines,Iloilo,PMI,Regular,Full Flavor,STD,KS,2,1456400,1.9
Mexico,Guadalajara,PMI,Regular,Full Flavor,STD,KS,12,389163400,2.4
Turkey,Eskisehir Airport,PMI,NTD Caps,Full Flavor,STD,KS,10,29919000,0
Poland,Rzeszow,PMI,Regular,Full Flavor,SLI,KS,2,26390400,0.2
Turkey,Gaziantep Airport,PMI,NTD Caps,Full Flavor,STD,KS,12,90628200,0.1
Azerbaijan,Baku,PMI,Regular,Full Flavor,STD,KS,19,1106393200,78.3
China,Beijing,PMI,Regular,Full Flavor,STD,KS,6,144022800,1.8
Greece,Athens,PMI,Regular,Full Flavor,SLI,KS,9,225156000,17.5
Malaysia,Penang,PMI,Menthol Caps,Full Flavor,STD,KS,2,7912800,0.8
Brazil,Salvador,PMI,Regular,Full Flavor,SLI,KS,3,91664600,1.5
"Congo, Rep. Dem.",Kinshasa,PMI,Regular,Full Flavor,STD,KS,4,60360000,68.8
China,Guiyang Longdongbao,PMI,NTD Caps,Full Flavor,STD,KS,1,26400,0
Norway,Bergen,PMI,Regular,Full Flavor,STD,KS,15,40746400,6.9
Morocco,Casablanca,PMI,NTD Caps,Full Flavor,STD,KS,11,302063600,1.2
Tanzania,Zanzibar,PMI,Regular,Full Flavor,SLI,KS,4,125450400,13.4
Morocco,Oujda,PMI,NTD Caps,Full Flavor,STD,KS,6,24256200,0.1
Guadalupe,Pointe-a-Pitre,PMI,Regular,Full Flavor,STD,KS,8,664522400,70.4
France,Nice,PMI,Regular,Lights,STD,KS,2,15865800,0.1
South Korea,Jeju,PMI,NTD Caps,Full Flavor,STD,KS,5,541604800,3.3
Japan,Oita,PMI,NTD Caps,Full Flavor,STD,KS,2,290800,0
Caribbean Other,Basseterre (Saint Kitts),PMI,Menthol Caps,Full Flavor,STD,KS,1,455000,0.1
Tanzania,Zanzibar,PMI,NTD Caps,Full Flavor,STD,KS,1,1760000,0.2
Russia,Samara,PMI,Regular,Full Flavor,STD,KS,5,952800,0.2
Hong Kong,Hong Kong,PMI,Menthol Caps,Full Flavor,STD,KS,4,140719220,15
Great Britain,London Luton,PMI,Regular,Full Flavor,STD,KS,5,262983800,5.1
United Arab Emirates,Sharjah,PMI,Menthol Caps,Full Flavor,STD,KS,3,7379000,0
Argentina,Buenos Aires - Ezeiza,PMI,Regular,Full Flavor,SLI,KS,6,298393200,70
China,Xiamen Gaoqi,PMI,Menthol,Full Flavor,STD,KS,2,21609600,0.3
Nigeria,Abuja,PMI,Regular,Full Flavor,SLI,KS,3,16574600,10.8
Ivory Coast,Abidjan,PMI,Regular,Full Flavor,STD,KS,4,317970800,51.3
Malaysia,Penang,PMI,Regular,Full Flavor,STD,KS,2,14067600,1.4
Canary Islands,Tenerife,PMI,Regular,Full Flavor,STD,KS,5,311005200,16.9
Ghana,Accra,PMI,Regular,Full Flavor,SLI,KS,3,150829600,53.8
Macau,Macau,PMI,Regular,Full Flavor,STD,KS,2,19608800,53.6
Greece,Samos,PMI,Regular,Full Flavor,SLI,KS,3,253600,0
Turkey,Kayseri Airport,PMI,Regular,Full Flavor,SSL,KS,1,26641800,0
Brazil,Brasilia,PMI,Regular,Full Flavor,SLI,KS,3,15864400,0.3
Mauritius,Port Louis,PMI,Regular,Full Flavor,SLI,KS,1,8146808,3.7
Azerbaijan,Baku,PMI,Regular,Full Flavor,SLI,KS,2,305954000,21.7
Kenya,Jomo Kenyatta,PMI,NTD Caps,Full Flavor,STD,KS,3,22265446,1.8
Mexico,Huatulco,PMI,Regular,Full Flavor,SLI,KS,1,127906100,0.8
China,Yinchuan Hedong,PMI,Menthol Caps,Full Flavor,STD,KS,3,4435000,0.1
Cape Verde,Espargos,PMI,Regular,Full Flavor,SLI,KS,3,1077799400,18.4
Qatar,Doha,PMI,Menthol Caps,Full Flavor,STD,KS,2,163484400,0.9
Morocco,Oujda,PMI,Menthol,Full Flavor,STD,KS,1,8556800,0
Brazil,Recife,PMI,Regular,Full Flavor,SLI,KS,3,44423800,0.7
South Korea,Daegu,PMI,NTD Caps,Full Flavor,STD,KS,5,56325200,0.3
Paraguay,Asuncion Silvio Petterossi,PMI,Menthol Caps,Full Flavor,STD,KS,1,8749650,6.9
Mexico,Monterrey,PMI,Regular,Full Flavor,SLI,KS,3,56057800,0.3
Paraguay,Asuncion Silvio Petterossi,PMI,Regular,Full Flavor,SLI,KS,1,24000000,18.8
France,Grenoble,PMI,Regular,Full Flavor,STD,KS,3,13946000,0.1
Japan,Tokyo - Shinjuku,PMI,Menthol Caps,Full Flavor,STD,KS,4,71967000,0.5
South Korea,Yangyang,PMI,Regular,Lights,SLI,KS,1,59000,0
China,Shenyang Taoxian,PMI,Menthol,Full Flavor,STD,KS,1,4687200,0.1
Taiwan,Taichung,PMI,Menthol,Full Flavor,STD,KS,3,1084374,0.1
Mexico,Puerto Vallarta,PMI,NTD Caps,Full Flavor,STD,KS,3,142800000,0.9
South Korea,Seoul,PMI,Regular,Lights,SLI,KS,1,4684600,0
Aruba,Oranjestad,PMI,Menthol,Full Flavor,STD,KS,1,61846400,3.3
Argentina,Rosario,PMI,NTD Caps,Full Flavor,STD,KS,1,39000,0
Caribbean Other,Kralendijk (Bonaire),PMI,Menthol,Full Flavor,STD,KS,2,1231464,0.2
South Korea,Busan - Kimhae,PMI,Menthol Caps,Full Flavor,STD,KS,4,77079800,0.5
Turkey,Trabzon Airport,PMI,Regular,Lights,STD,KS,1,103600,0
China,Chongqing Jiangbei,PMI,Menthol,Full Flavor,STD,KS,2,17210800,0.2
Nicaragua,Managua,PMI,Menthol Caps,Full Flavor,STD,KS,1,8925000,2.9
Spain,Jerez De La Frontera,PMI,Regular,Full Flavor,SLI,KS,1,1314800,0
Mexico,La Paz Manuel Marquez de Leon,PMI,NTD Caps,Full Flavor,STD,KS,1,7526400,0
Turkey,Konya Airport,PMI,Regular,Full Flavor,SSL,KS,1,150800,0
Spain,Murcia,PMI,Regular,Full Flavor,SLI,KS,1,31347600,0.3
Philippines,Manila Downtown Shop,PMI,Regular,Full Flavor,STD,KS,2,6454800,8.6
Netherlands,Eindhoven,PMI,Regular,Full Flavor,STD,KS,1,1692000,0.4
Cambodia,Sihanoukville,PMI,Menthol,Full Flavor,STD,KS,1,73200,0.1
"Congo, Rep. Dem.",Kinshasa,PMI,Menthol Caps,Full Flavor,STD,KS,1,1480000,1.7
Spain,Madrid Barajas,PMI,Regular,Full Flavor,SLI,KS,1,500523600,4.2
Morocco,Tangier,PMI,Regular,Full Flavor,SLI,KS,1,17640000,0.1
Mexico,Monterrey,PMI,Regular,Full Flavor,STD,KS,12,88887600,0.6
Morocco,Casablanca,PMI,Menthol Caps,Full Flavor,STD,KS,3,60641600,0.2
Switzerland,Zurich,PMI,Regular,Full Flavor,STD,KS,11,220824160,10.4
Brazil,Sao Paulo - Guarulhos,PMI,Menthol,Full Flavor,STD,KS,1,84163200,1.4
Chile,Santiago Arturo Merino Benitez,PMI,NTD Caps,Full Flavor,STD,KS,3,226376200,9.1
Macedonia,Skopje,PMI,Regular,Full Flavor,STD,KS,8,288714600,25.9
South Korea,Incheon,PMI,Regular,Full Flavor,STD,KS,10,5987999400,36.2
Colombia,Cali,PMI,Regular,Full Flavor,STD,KS,18,269677306,6.4
Argentina,Buenos Aires Aeroparque,PMI,Regular,Full Flavor,SLI,KS,6,48350400,11.3
Germany,Hannover,PMI,Regular,Full Flavor,STD,KS,9,45716200,1.5
India,Goa,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
China,Fuzhou Changle,PMI,Menthol Caps,Full Flavor,STD,KS,3,5134400,0.1
Greece,Heraklion Airport,PMI,Regular,Full Flavor,SLI,KS,9,63730200,4.9
China,Zhengzhou Xinzheng,PMI,NTD Caps,Full Flavor,STD,KS,4,2618800,0
France,Chambery,PMI,Regular,Full Flavor,STD,KS,2,13863000,0.1
Egypt,Asyut,PMI,NTD Caps,Full Flavor,STD,KS,6,13546800,0
Italy,Palermo,PMI,Regular,Full Flavor,STD,KS,8,78307800,1.8
Iraq,Baghdad,PMI,NTD Caps,Full Flavor,STD,KS,5,727950000,20
Kuwait,Kuwait,PMI,NTD Caps,Full Flavor,STD,KS,10,424450800,2.6
India,Karipur,PMI,Regular,Full Flavor,SLI,KS,5,7036609,0.1
Turkey,Eskisehir Airport,PMI,Regular,Full Flavor,STD,KS,41,138555000,0.1
China,Hefei Xinqiao,PMI,Menthol Caps,Full Flavor,STD,KS,2,37864000,0.5
Denmark,Aalborg,PMI,Regular,Full Flavor,STD,KS,2,1248612,1.3
Morocco,Tangier,PMI,NTD Caps,Full Flavor,STD,KS,8,116956000,0.5
Turkey,Antalya Airport,PMI,Regular,Full Flavor,SLI,KS,9,3022216600,1.8
Italy,Pisa,PMI,Regular,Full Flavor,SLI,KS,3,21426800,0.5
Mexico,La Paz Manuel Marquez de Leon,PMI,Regular,Full Flavor,STD,KS,7,37371200,0.2
Mexico,Ixtapa Zihuatanejo,PMI,Regular,Full Flavor,STD,KS,8,8488800,0.1
Morocco,Rabat,PMI,Regular,Full Flavor,STD,KS,14,1673026200,6.5
Spain,Almeria,PMI,Regular,Full Flavor,SLI,KS,1,7266000,0.1
Turkey,Bodrum Airport,PMI,NTD Caps,Full Flavor,STD,KS,14,252578400,0.2
Mexico,Los Cabos,PMI,Menthol Caps,Full Flavor,STD,KS,3,10975000,0.1
Saudi Arabia,RIYADH,PMI,Regular,Full Flavor,SLI,KS,8,918059400,22.4
Colombia,Medellin Jose Maria Cordova,PMI,Menthol,Full Flavor,STD,KS,3,18654739,0.4
Egypt,Hurgada,PMI,,,,,1,974309,0
Bangladesh,Zia,PMI,NTD Caps,Full Flavor,STD,KS,4,41503912,35.7
South Korea,Jeju,PMI,Regular,Full Flavor,STD,KS,11,1974574400,11.9
Greece,Corfu,PMI,Regular,Full Flavor,SSL,KS,1,202800,0
Guatemala,Guatemala City,PMI,Menthol,Full Flavor,STD,KS,1,20310400,2.4
Canary Islands,Fuerteventura,PMI,Regular,Full Flavor,STD,KS,5,98306000,5.3
Greece,Kavala,PMI,Regular,Full Flavor,SLI,KS,4,1736800,0.1
France,Nantes,PMI,Regular,Lights,STD,KS,2,5776000,0
Caribbean Other,Basseterre (Saint Kitts),PMI,Regular,Full Flavor,STD,KS,9,13346000,2.2
Malaysia,Johor Bahru,PMI,Menthol Caps,Full Flavor,STD,KS,2,16580000,1.6
Spain,Valencia,PMI,Regular,Full Flavor,STD,KS,8,248467000,2.1
Russia,Ekaterinburg,PMI,Regular,Full Flavor,STD,KS,6,2276600,0.4
India,Jaipur,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Albania,Tirana,PMI,Regular,Full Flavor,SLI,KS,3,4272237000,77.3
Great Britain,Southampton,PMI,Regular,Full Flavor,STD,KS,4,23529000,0.5
India,Sardar Vallabh Bhai Patel,PMI,Regular,Full Flavor,STD,KS,10,17044054,0.4
France,Lille,PMI,Regular,Full Flavor,STD,KS,6,29511200,0.2
Morocco,Casablanca,PMI,Regular,Full Flavor,SLI,KS,1,52437000,0.2
Germany,Nuernberg,PMI,Regular,Full Flavor,STD,KS,9,9763910,0.3
Vietnam,Ho Chi Minh,PMI,NTD Caps,Full Flavor,STD,KS,5,40325200,3.8
Cambodia,Sihanoukville,PMI,Regular,Full Flavor,SLI,KS,2,29000,0
South Korea,Seoul (downtown),PMI,Menthol Caps,Full Flavor,STD,KS,4,99304600,0.6
Jamaica,Montego Bay,PMI,Regular,Full Flavor,SLI,KS,3,379960675,23.5
Spain,Palma De Mallorca,PMI,Regular,Full Flavor,SLI,KS,1,216284600,1.8
Colombia,Bogota,PMI,Menthol,Full Flavor,STD,KS,2,64131080,1.5
France,Marseille,PMI,Regular,Full Flavor,STD,KS,10,491858000,4.1
Brazil,Sao Paulo - Guarulhos,PMI,Menthol Caps,Full Flavor,STD,KS,2,78718200,1.3
South Korea,Busan - Kimhae,PMI,Menthol,Full Flavor,STD,KS,1,21406000,0.1
Morocco,Rabat,PMI,Menthol Caps,Full Flavor,STD,KS,3,24897200,0.1
Guadalupe,Pointe-a-Pitre,PMI,Regular,Full Flavor,SLI,KS,2,253719600,26.9
China,Chengdu Tianfu,PMI,Menthol Caps,Full Flavor,STD,KS,3,107588600,1.3
Vietnam,Danang Downtown Shop,PMI,Menthol Caps,Full Flavor,STD,KS,3,215200,0
Italy,Ciampino Airport,PMI,Regular,Full Flavor,SLI,KS,3,27650000,0.6
China,Taiyuan Wusu,PMI,Menthol,Full Flavor,STD,KS,1,1080000,0
Brazil,Porto Alegre,PMI,Regular,Full Flavor,SLI,KS,3,5261200,0.1
India,Hyderabad,PMI,Regular,Full Flavor,SLI,KS,5,83850520,1.8
Kenya,Nairobi,PMI,Regular,Full Flavor,SLI,KS,4,20040800,1.7
Iraq,Baghdad,PMI,Regular,Full Flavor,SLI,KS,6,351950000,9.7
Turkey,Adana Airport,PMI,Regular,Full Flavor,SLI,KS,2,6253400,0
Kuwait,Kuwait,PMI,Menthol Caps,Full Flavor,STD,KS,2,14436000,0.1
India,Karipur,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Brazil,Fortaleza,PMI,Regular,Full Flavor,STD,KS,8,223194600,3.7
China,Sanya Fenghuang,PMI,Regular,Full Flavor,STD,KS,4,8970110,0.1
Brazil,Fortaleza,PMI,Menthol Caps,Full Flavor,STD,KS,2,8826000,0.1
Norway,Oslo,PMI,Regular,Full Flavor,SLI,KS,1,108115200,18.3
Denmark,Aalborg,PMI,Regular,Full Flavor,SLI,KS,1,988220,1
China,Guangzhou Baiyun,PMI,Menthol,Full Flavor,STD,KS,2,130950800,1.6
Sweden,Vaxjo,PMI,Regular,Full Flavor,STD,KS,1,690000,0.3
Poland,Warsaw-Modlin,PMI,Regular,Full Flavor,SLI,KS,2,34651200,0.3
Canary Islands,Tenerife,PMI,Regular,Full Flavor,SLI,KS,3,436338600,23.7
France,Nantes,PMI,Regular,Full Flavor,SLI,KS,2,59404800,0.5
Oman,Muscat,PMI,Regular,Ultralights,STD,KS,1,42675800,1.1
India,Amritsar,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
Macedonia,Ohrid,PMI,Regular,Full Flavor,SLI,KS,2,51400000,4.6
Mexico,Mazatlan,PMI,NTD Caps,Full Flavor,STD,KS,3,4819400,0
Bulgaria,Bourgas,PMI,Regular,Full Flavor,SLI,KS,1,1773800,1.5
Cape Verde,Rabil,PMI,Menthol Caps,Full Flavor,STD,KS,1,16203200,0.3
Taiwan,Taichung,PMI,Regular,Full Flavor,STD,KS,7,15576348,1.2
Turkey,Adana Airport,PMI,Menthol Caps,Full Flavor,STD,KS,2,1346000,0
France,Toulouse,PMI,Regular,Lights,STD,KS,1,14039000,0.1
India,Netaji Subhash Chandra Bose Int. Airport,PMI,NTD Caps,Full Flavor,STD,KS,2,2950704,0.1
